date,temperature_c,humidity_percent,wind_speed_kmph,pressure_hpa,cloud_cover_percent,dew_point_c,visibility_km,rainfall_mm
2018-03-11,44.54,20.96,44.7,1022.53,59.46,17.9,9.79,2.08
2018-03-12,37.03,64.23,46.82,1021.99,42.0,10.95,2.06,4.04
2018-03-13,16.96,79.25,40.37,990.15,15.3,9.83,2.28,2.57
2018-03-14,10.19,58.8,31.78,1007.65,46.94,28.85,4.32,2.66
2018-03-15,38.54,26.83,15.19,981.26,69.09,10.07,8.53,5.33
2018-03-16,34.74,97.8,49.15,1021.93,79.93,25.2,5.21,3.8
2018-03-17,35.52,61.44,13.71,1003.53,49.33,14.22,3.89,0.33
2018-03-18,36.99,69.13,10.13,981.95,16.52,29.64,6.05,0.27
2018-03-19,12.59,38.93,22.11,995.41,41.47,14.2,3.34,1.46
2018-03-20,22.55,58.68,2.84,983.46,78.63,13.79,4.61,2.25
2018-03-21,14.06,54.33,48.92,997.68,41.29,20.94,3.99,1.29
2018-03-22,40.21,25.99,29.42,1010.15,69.65,29.04,8.24,4.22
2018-03-23,31.82,28.49,27.85,1001.15,50.72,29.41,9.32,0.87
2018-03-24,21.58,87.0,32.79,997.27,24.12,22.68,7.84,4.87
2018-03-25,12.22,39.19,24.85,985.36,79.62,23.87,4.95,5.93
2018-03-26,20.88,35.6,1.6,991.02,8.42,19.09,5.54,0.53
2018-03-27,21.38,60.39,30.62,984.51,52.49,23.89,2.13,4.21
2018-03-28,35.54,81.5,35.81,1016.34,20.89,26.49,7.72,13.02
2018-03-29,32.31,24.96,20.84,986.09,6.71,17.15,6.37,0.86
2018-03-30,41.05,66.14,37.86,1006.79,50.29,20.5,9.12,9.6
2018-03-31,26.53,29.54,11.35,995.42,49.96,18.43,2.81,3.73
2018-04-01,14.19,22.92,11.06,990.17,70.69,19.06,7.84,3.58
2018-04-02,34.96,24.22,8.07,1008.78,74.48,27.25,7.16,0.21
2018-04-03,36.63,86.73,18.6,1000.57,72.78,13.89,3.39,5.52
2018-04-04,29.64,29.44,42.35,998.01,40.96,10.2,7.01,2.6
2018-04-05,36.98,23.61,41.4,1006.68,63.17,16.41,9.32,5.11
2018-04-06,27.28,55.03,19.14,1002.11,57.69,10.2,9.27,6.63
2018-04-07,28.3,87.52,29.46,993.66,42.16,17.46,7.48,2.97
2018-04-08,24.96,40.99,36.04,1005.16,59.72,27.59,1.43,1.22
2018-04-09,10.89,53.74,12.06,1010.13,94.72,20.44,8.85,0.61
2018-04-10,13.78,23.19,8.41,981.2,19.29,26.39,6.92,0.7
2018-04-11,11.1,55.93,48.6,1000.96,90.58,9.15,3.79,8.07
2018-04-12,32.27,66.21,30.88,982.6,5.35,27.52,2.69,0.53
2018-04-13,21.0,65.67,49.07,988.39,30.84,20.04,2.05,1.94
2018-04-14,27.8,46.59,16.89,1005.22,28.81,5.79,1.45,1.63
2018-04-15,41.76,45.24,35.15,1018.98,62.64,20.83,7.79,8.02
2018-04-16,18.73,28.53,11.13,1019.73,13.12,28.78,3.12,2.6
2018-04-17,24.36,49.34,13.06,983.15,88.23,6.98,1.22,22.56
2018-04-18,36.44,27.96,25.6,998.86,82.86,19.56,4.58,5.34
2018-04-19,18.01,81.33,15.98,1006.24,65.21,27.89,5.34,7.61
2018-04-20,12.69,97.3,8.38,986.62,45.84,5.24,2.52,0.42
2018-04-21,20.14,97.61,13.14,1014.44,93.3,20.77,1.4,1.17
2018-04-22,15.64,89.21,1.79,1013.49,83.07,16.87,2.7,0.58
2018-04-23,42.54,68.06,35.22,1020.65,49.93,13.67,7.11,2.49
2018-04-24,38.28,76.07,24.61,980.38,70.19,20.69,1.74,5.07
2018-04-25,32.17,42.82,4.71,989.75,56.69,6.32,6.0,0.74
2018-04-26,40.5,70.46,8.58,1017.22,58.79,23.83,2.32,0.56
2018-04-27,38.13,56.45,5.13,1010.18,33.1,5.11,2.76,3.81
2018-04-28,16.53,58.56,30.63,1020.25,46.21,12.67,4.54,1.05
2018-04-29,41.24,80.62,4.71,982.57,7.81,17.6,1.91,2.61
2018-04-30,28.88,42.55,37.71,1006.86,35.73,14.43,2.56,0.21
2018-05-01,38.26,45.44,1.03,1005.61,69.58,12.69,4.14,4.57
2018-05-02,41.36,93.97,12.47,981.61,95.32,25.77,3.97,3.12
2018-05-03,21.13,24.5,44.53,1003.11,96.31,28.37,7.74,4.17
2018-05-04,13.85,58.85,35.93,1007.43,55.57,26.84,1.67,1.29
2018-05-05,17.98,93.02,3.65,988.61,60.66,18.06,8.74,1.31
2018-05-06,24.95,68.83,41.06,992.3,18.57,27.1,8.35,6.47
2018-05-07,38.63,63.71,24.65,1008.82,69.53,28.02,7.89,5.07
2018-05-08,40.13,39.98,42.34,1001.07,7.07,15.23,3.78,3.47
2018-05-09,10.24,47.46,30.04,1018.61,28.47,12.09,8.41,3.96
2018-05-10,27.88,88.16,34.09,995.41,66.84,7.46,2.65,0.4
2018-05-11,24.61,64.74,49.68,992.0,31.03,16.98,2.12,7.76
2018-05-12,17.77,61.18,11.62,1024.32,4.98,28.66,1.4,5.88
2018-05-13,14.2,27.97,31.2,1021.0,83.19,19.02,9.45,3.57
2018-05-14,21.82,21.28,23.02,981.3,31.03,21.69,3.77,10.03
2018-05-15,43.0,97.09,1.97,1014.68,6.31,7.82,9.26,0.74
2018-05-16,21.31,50.16,0.72,984.97,7.48,8.59,3.45,4.64
2018-05-17,28.16,68.26,5.96,981.24,25.18,16.61,9.17,13.19
2018-05-18,34.61,26.38,32.45,992.32,17.8,28.78,9.14,1.48
2018-05-19,22.73,74.65,28.36,992.12,77.43,14.02,9.31,0.06
2018-05-20,44.01,94.61,27.67,1016.87,32.17,26.94,5.47,5.31
2018-05-21,43.69,66.05,1.59,1011.98,80.47,8.01,8.79,0.03
2018-05-22,18.81,30.09,23.47,1024.17,17.38,20.43,9.56,8.24
2018-05-23,27.4,66.54,46.23,1012.02,49.29,20.02,3.92,0.23
2018-05-24,20.53,81.31,19.88,998.82,68.8,26.5,4.77,4.23
2018-05-25,19.97,52.51,31.25,1011.45,65.2,5.08,7.47,1.89
2018-05-26,11.29,90.39,38.99,1024.98,60.11,9.75,3.7,0.91
2018-05-27,31.33,71.89,39.2,1011.96,92.48,10.49,7.78,9.14
2018-05-28,27.59,91.94,25.96,1014.28,22.85,28.75,1.67,5.49
2018-05-29,11.8,69.88,42.9,1022.23,49.37,8.84,5.71,1.66
2018-05-30,19.75,30.5,19.57,985.11,88.4,5.92,2.1,1.34
2018-05-31,41.79,44.78,44.43,1011.72,7.79,18.36,3.64,5.33
2018-06-01,18.38,36.14,12.01,1018.29,5.59,18.21,3.33,7.25
2018-06-02,15.07,92.71,14.01,1022.95,23.33,26.1,8.55,5.03
2018-06-03,27.13,80.83,2.66,989.49,63.3,28.72,2.74,4.09
2018-06-04,44.5,74.11,39.78,1002.68,25.99,18.46,8.28,1.03
2018-06-05,18.47,44.08,20.85,1010.62,19.02,28.25,8.15,7.66
2018-06-06,33.52,34.72,11.46,991.14,45.88,23.13,5.49,5.54
2018-06-07,36.66,80.52,11.59,1007.02,61.36,11.61,3.1,2.91
2018-06-08,18.32,57.93,45.07,991.59,24.86,28.21,3.04,2.87
2018-06-09,35.49,38.06,41.7,995.01,30.07,21.69,5.18,3.37
2018-06-10,22.87,69.33,27.68,999.87,61.36,15.35,1.08,7.05
2018-06-11,32.13,23.23,30.81,1003.81,94.57,22.01,5.78,5.42
2018-06-12,32.17,46.09,23.72,1000.22,67.47,15.03,9.58,7.76
2018-06-13,28.75,57.48,19.58,1002.19,78.29,7.85,2.39,2.83
2018-06-14,13.16,31.84,45.77,993.44,36.68,22.97,6.16,3.92
2018-06-15,39.24,98.77,6.28,987.15,27.23,25.6,9.66,7.71
2018-06-16,21.23,36.73,20.92,982.13,45.43,23.22,8.74,1.06
2018-06-17,16.53,30.43,17.23,988.82,80.71,10.73,8.65,2.35
2018-06-18,11.43,36.28,24.91,1006.19,45.63,28.92,8.4,3.88
2018-06-19,30.68,81.52,22.88,1015.38,84.67,5.63,3.78,9.87
2018-06-20,33.71,54.04,25.94,987.62,98.88,13.32,9.02,0.06
2018-06-21,10.58,65.23,7.0,984.88,7.2,11.5,9.47,0.96
2018-06-22,27.92,21.68,25.66,1013.72,4.54,6.2,5.46,1.07
2018-06-23,17.93,22.75,12.12,993.73,14.96,15.14,4.19,1.58
2018-06-24,32.58,55.67,9.22,1022.82,38.44,20.58,4.73,1.32
2018-06-25,16.1,85.33,3.24,1012.14,13.1,27.06,4.01,3.57
2018-06-26,34.18,90.82,38.13,994.7,87.07,29.74,2.91,8.67
2018-06-27,23.54,26.94,21.37,993.03,2.31,25.2,6.57,4.05
2018-06-28,42.79,63.07,31.33,1003.57,31.58,16.72,6.06,1.11
2018-06-29,14.81,93.06,36.38,983.56,18.47,23.09,5.16,7.97
2018-06-30,21.94,51.04,33.97,985.3,93.15,26.09,1.86,4.0
2018-07-01,13.97,86.37,23.53,987.91,66.95,16.63,8.17,0.99
2018-07-02,42.36,30.7,19.39,1014.86,91.2,24.63,2.57,1.8
2018-07-03,40.71,94.83,18.8,1003.12,97.23,17.07,2.03,6.24
2018-07-04,19.03,80.11,32.0,980.48,49.71,14.66,6.61,5.37
2018-07-05,33.1,95.31,24.74,1010.31,23.43,18.15,4.59,3.44
2018-07-06,38.6,74.13,42.46,999.07,19.37,21.9,1.54,0.63
2018-07-07,29.43,49.07,43.74,1002.99,22.29,23.17,4.2,6.5
2018-07-08,28.54,95.05,8.53,989.64,70.86,13.92,7.95,1.47
2018-07-09,18.46,42.05,6.81,1004.83,4.04,19.28,6.54,5.91
2018-07-10,13.26,46.57,31.52,1024.06,5.14,27.75,4.27,4.17
2018-07-11,41.4,76.06,15.06,983.31,60.81,29.41,2.73,1.23
2018-07-12,41.51,81.23,0.93,992.78,64.21,10.68,6.69,0.95
2018-07-13,32.16,94.35,44.43,990.93,66.53,9.82,8.99,0.56
2018-07-14,21.87,36.38,11.35,991.18,37.19,21.92,6.82,1.11
2018-07-15,22.22,83.84,46.46,997.04,80.59,15.37,8.32,0.69
2018-07-16,35.41,79.08,35.87,1016.81,53.36,5.61,5.69,3.84
2018-07-17,41.4,25.1,38.13,1021.08,10.55,13.67,7.46,3.65
2018-07-18,41.05,50.98,10.07,989.1,79.71,25.17,9.07,3.53
2018-07-19,37.3,42.62,11.71,1004.43,95.31,24.94,7.96,4.11
2018-07-20,32.47,44.36,26.06,1008.66,6.0,17.37,9.19,6.74
2018-07-21,12.94,98.64,8.6,1003.48,39.14,16.81,4.88,9.79
2018-07-22,15.66,71.42,15.27,999.53,48.75,19.49,9.14,1.05
2018-07-23,41.45,77.41,16.07,988.64,14.65,10.48,6.59,3.54
2018-07-24,31.23,98.13,7.98,1001.97,86.77,18.15,8.83,0.33
2018-07-25,10.32,50.18,10.26,998.05,28.41,5.28,1.35,0.51
2018-07-26,13.55,84.15,39.43,1015.8,78.3,16.89,6.92,4.25
2018-07-27,33.22,54.76,8.36,1014.36,67.1,13.4,8.63,2.67
2018-07-28,10.18,89.56,1.42,986.03,59.8,21.87,2.57,5.68
2018-07-29,15.63,34.45,31.47,983.98,19.21,20.96,6.96,2.22
2018-07-30,29.21,95.81,48.8,1020.87,22.07,14.52,8.42,0.55
2018-07-31,34.22,37.5,16.56,1004.1,4.73,5.18,3.59,8.22
2018-08-01,32.82,46.1,5.93,1018.6,24.07,11.31,4.65,0.35
2018-08-02,17.85,80.5,28.52,982.62,34.54,20.83,6.13,0.84
2018-08-03,34.93,51.5,45.32,1003.69,83.31,6.81,5.67,1.3
2018-08-04,18.3,68.66,39.2,1004.27,36.64,7.69,1.35,21.42
2018-08-05,21.39,55.57,31.13,1018.73,75.46,21.18,1.89,2.16
2018-08-06,36.13,79.39,15.75,984.39,43.94,23.89,1.9,2.79
2018-08-07,32.74,38.27,27.09,990.82,78.49,13.04,3.36,5.87
2018-08-08,39.72,24.68,4.56,998.29,97.63,17.24,3.21,4.05
2018-08-09,33.02,43.99,33.95,1018.96,23.98,28.64,7.68,7.37
2018-08-10,29.89,57.94,36.25,1022.25,86.23,28.64,6.15,2.67
2018-08-11,13.28,33.44,48.25,1024.67,62.18,12.69,7.88,14.33
2018-08-12,22.87,48.38,13.02,1023.16,81.73,25.25,1.63,6.37
2018-08-13,19.28,52.0,0.92,980.27,65.16,19.85,5.37,2.05
2018-08-14,18.54,24.59,27.28,982.15,42.39,29.39,3.91,1.92
2018-08-15,44.06,66.66,35.34,986.64,22.81,16.94,8.65,10.61
2018-08-16,23.76,90.75,39.52,995.7,7.0,24.37,7.37,4.61
2018-08-17,41.22,32.14,9.69,1017.35,53.55,24.2,8.82,3.89
2018-08-18,32.09,67.82,13.09,1020.17,99.03,17.44,1.42,5.67
2018-08-19,37.82,73.18,25.63,988.41,73.8,24.89,7.49,3.29
2018-08-20,27.59,53.55,16.53,1007.88,32.73,11.53,5.86,0.69
2018-08-21,30.19,76.09,43.03,1021.28,82.72,8.06,8.43,1.54
2018-08-22,27.24,52.86,23.69,1000.87,76.9,15.63,5.56,3.27
2018-08-23,16.83,60.37,39.98,984.66,28.16,28.59,5.86,0.07
2018-08-24,35.29,20.59,29.03,1000.6,1.43,17.52,1.47,2.3
2018-08-25,19.83,75.34,38.65,996.91,11.82,20.88,7.02,5.64
2018-08-26,10.85,72.91,16.63,1005.99,87.73,20.6,3.46,0.72
2018-08-27,32.59,23.07,41.57,999.74,83.66,8.31,1.18,0.27
2018-08-28,16.2,49.46,13.73,980.78,29.52,14.76,1.6,7.23
2018-08-29,42.92,98.32,27.3,1024.73,28.52,22.67,9.62,3.84
2018-08-30,43.39,53.66,10.7,1004.46,79.29,29.3,4.11,0.78
2018-08-31,42.02,60.16,23.78,1001.31,93.77,9.2,8.81,6.57
2018-09-01,22.96,92.79,15.91,1022.96,77.91,15.26,9.64,4.29
2018-09-02,10.54,77.38,13.34,987.01,60.56,7.38,9.49,1.63
2018-09-03,42.49,66.57,48.35,988.52,24.27,11.06,8.94,1.89
2018-09-04,24.99,83.82,8.0,1016.36,52.57,14.42,9.05,0.68
2018-09-05,43.83,89.15,39.37,991.74,23.35,18.52,3.6,7.21
2018-09-06,43.73,56.55,49.21,1015.97,80.8,10.76,2.36,2.85
2018-09-07,39.86,58.01,1.0,992.22,38.7,10.69,6.75,3.26
2018-09-08,20.31,50.88,34.95,981.49,83.37,24.45,5.39,8.6
2018-09-09,23.48,97.34,12.65,1003.27,38.16,29.07,1.89,0.06
2018-09-10,39.79,75.77,2.02,988.85,82.41,13.09,7.1,0.28
2018-09-11,21.09,26.66,20.14,1014.1,33.33,22.2,6.07,0.7
2018-09-12,15.93,89.04,46.76,1008.85,44.01,11.45,8.77,0.12
2018-09-13,29.49,58.44,0.59,1021.56,61.55,28.2,6.48,4.29
2018-09-14,42.77,25.5,29.39,1015.23,7.03,21.82,6.17,4.02
2018-09-15,34.36,63.98,25.07,988.13,94.82,25.07,4.97,0.95
2018-09-16,29.95,53.37,43.67,1016.01,57.36,6.23,5.17,0.65
2018-09-17,13.4,90.22,4.2,1008.88,50.78,19.96,9.59,0.63
2018-09-18,31.53,36.32,34.08,1010.1,83.94,18.19,2.25,12.25
2018-09-19,44.65,86.12,34.01,1017.45,86.58,12.32,5.02,4.73
2018-09-20,14.9,64.62,33.45,1005.82,52.23,11.56,6.9,3.52
2018-09-21,28.14,24.37,47.12,1000.97,92.73,19.5,4.9,1.56
2018-09-22,40.71,97.75,41.15,1008.65,6.47,22.66,3.55,2.27
2018-09-23,35.93,61.01,2.1,993.41,11.32,5.83,3.59,0.37
2018-09-24,34.4,43.27,23.55,988.22,59.68,19.19,3.1,25.17
2018-09-25,34.59,57.55,19.9,1007.75,35.41,9.26,4.1,5.63
2018-09-26,22.58,88.63,15.51,990.52,46.42,8.51,8.85,3.89
2018-09-27,20.28,44.39,22.57,983.6,32.81,20.58,5.55,3.54
2018-09-28,38.33,35.41,19.21,980.02,40.47,12.77,3.16,2.81
2018-09-29,38.35,30.33,21.62,1007.37,82.26,16.02,4.46,1.19
2018-09-30,40.35,43.83,48.96,996.3,59.35,14.0,1.95,1.03
2018-10-01,41.96,82.4,4.43,1013.85,99.73,21.21,9.14,3.19
2018-10-02,27.9,57.73,46.11,996.88,78.69,16.75,4.67,0.29
2018-10-03,27.55,38.2,24.01,1001.87,27.37,29.09,9.82,0.31
2018-10-04,37.94,33.29,31.19,998.32,26.43,13.81,4.13,3.29
2018-10-05,32.75,46.62,41.51,1009.28,33.59,23.51,8.53,10.09
2018-10-06,34.57,95.19,18.02,996.03,84.33,11.43,3.31,9.83
2018-10-07,37.85,47.44,21.52,1023.37,2.73,17.72,1.69,0.04
2018-10-08,41.15,99.05,20.48,1022.13,23.02,18.81,1.29,0.45
2018-10-09,21.83,58.82,18.74,1018.16,90.49,13.23,6.46,3.5
2018-10-10,23.15,34.33,46.28,1021.41,63.99,16.79,3.8,7.55
2018-10-11,13.29,91.29,41.45,1000.21,22.68,11.98,4.99,12.36
2018-10-12,30.24,56.83,5.45,1004.14,21.91,5.15,8.37,7.88
2018-10-13,11.26,76.77,5.41,1013.39,86.26,10.39,3.23,4.53
2018-10-14,26.3,98.7,21.39,1011.33,89.38,22.5,3.78,0.9
2018-10-15,28.99,24.01,4.93,1020.08,25.61,24.27,8.61,0.3
2018-10-16,20.03,27.74,30.95,1012.23,42.05,12.01,5.43,0.19
2018-10-17,30.68,77.64,7.18,1024.9,83.46,15.2,8.45,3.79
2018-10-18,11.07,42.55,26.12,995.68,77.1,5.93,4.37,0.15
2018-10-19,11.31,34.74,0.36,1017.48,81.39,10.93,4.59,5.38
2018-10-20,38.79,23.15,15.83,1011.39,51.84,24.48,2.5,4.99
2018-10-21,22.61,21.75,33.86,1011.11,91.15,20.15,9.25,0.33
2018-10-22,14.45,81.96,24.2,994.66,32.6,10.14,9.07,9.48
2018-10-23,28.28,30.75,48.91,1015.35,15.67,11.44,9.86,2.95
2018-10-24,36.95,57.42,43.71,1020.52,70.87,25.42,4.62,9.39
2018-10-25,17.55,68.47,17.95,989.83,53.94,10.23,8.37,9.28
2018-10-26,31.8,54.27,2.27,1008.15,85.46,13.35,4.73,0.88
2018-10-27,12.99,22.17,42.28,997.65,8.12,21.61,5.09,1.92
2018-10-28,11.81,82.68,45.56,1024.53,84.37,19.03,8.47,0.58
2018-10-29,28.6,20.84,41.03,1001.55,29.33,16.52,2.6,5.97
2018-10-30,28.92,80.95,6.4,990.27,65.49,27.49,2.98,2.81
2018-10-31,32.31,91.46,49.9,997.18,4.01,10.49,3.83,10.57
2018-11-01,35.41,54.63,12.93,1009.42,60.96,23.54,8.09,0.93
2018-11-02,44.15,62.84,36.21,983.42,71.73,8.98,4.35,4.66
2018-11-03,28.07,58.16,45.4,1007.16,36.88,20.39,4.22,18.13
2018-11-04,21.3,51.14,11.78,1021.91,21.54,26.77,9.99,4.38
2018-11-05,37.83,90.99,45.41,1018.27,53.76,16.45,4.45,0.29
2018-11-06,19.48,91.51,15.47,983.05,83.32,23.11,3.23,3.55
2018-11-07,25.36,46.87,48.82,1024.7,32.35,25.51,6.61,0.79
2018-11-08,12.75,69.21,14.06,1011.44,25.25,8.4,8.22,0.12
2018-11-09,10.89,94.15,47.67,987.3,27.89,22.65,1.63,1.63
2018-11-10,43.69,96.96,2.68,980.56,94.91,28.0,6.57,1.24
2018-11-11,39.26,60.72,35.46,987.71,35.93,19.41,1.32,6.22
2018-11-12,34.36,56.23,26.61,1017.72,0.36,9.65,5.74,1.87
2018-11-13,24.31,42.3,23.89,980.97,78.17,8.17,3.31,5.28
2018-11-14,16.07,96.71,11.17,990.49,69.93,11.49,3.76,0.07
2018-11-15,15.48,31.43,35.28,1014.08,12.86,7.59,5.2,0.06
2018-11-16,18.76,66.39,9.54,1006.37,98.49,17.83,9.34,0.12
2018-11-17,29.22,42.6,27.64,1015.22,60.81,6.74,7.4,0.99
2018-11-18,35.01,42.32,12.66,1013.58,50.08,10.59,9.43,1.87
2018-11-19,33.11,52.4,47.78,982.28,38.22,16.0,6.94,3.74
2018-11-20,19.8,99.9,1.43,1020.16,89.87,16.85,1.06,17.05
2018-11-21,43.42,24.4,9.99,990.22,24.4,19.13,3.39,1.75
2018-11-22,35.83,66.28,12.12,1004.9,28.58,22.64,9.15,0.23
2018-11-23,29.4,26.61,20.7,1008.99,12.24,6.18,6.79,0.87
2018-11-24,31.41,32.36,11.64,987.59,75.91,7.02,9.83,9.13
2018-11-25,24.69,55.17,24.57,1023.93,59.55,6.52,2.4,4.81
2018-11-26,18.67,60.84,43.62,1001.97,60.91,15.58,3.67,6.25
2018-11-27,22.46,40.7,35.6,982.59,21.85,6.05,4.26,0.53
2018-11-28,36.52,45.32,29.0,1022.18,65.12,23.65,3.94,0.58
2018-11-29,10.5,26.96,4.45,1006.38,76.55,10.58,3.27,0.48
2018-11-30,14.06,44.26,34.7,1011.46,35.79,28.48,4.99,7.78
2018-12-01,11.61,97.32,8.32,1003.63,80.13,17.16,6.78,0.94
2018-12-02,11.43,95.58,39.32,1017.56,34.88,16.16,3.8,4.12
2018-12-03,39.94,46.79,12.5,981.49,75.81,24.51,1.72,2.9
2018-12-04,34.63,65.67,20.85,992.08,3.37,22.83,7.38,3.14
2018-12-05,26.6,92.77,17.52,1001.13,55.12,20.18,5.13,0.87
2018-12-06,13.42,20.49,42.94,983.45,96.95,28.38,6.01,4.03
2018-12-07,27.21,84.85,6.33,1011.77,98.12,15.56,5.1,0.18
2018-12-08,26.57,95.87,28.28,997.71,28.18,25.21,9.01,20.13
2018-12-09,16.06,27.31,7.1,992.27,44.14,14.5,6.03,0.11
2018-12-10,25.18,32.92,35.24,980.15,6.3,25.96,9.31,0.21
2018-12-11,23.95,96.86,45.25,1012.39,87.33,11.49,5.6,1.57
2018-12-12,31.55,63.0,21.73,1017.52,56.86,12.23,3.63,7.13
2018-12-13,32.23,21.14,24.4,997.78,38.51,21.95,4.2,1.19
2018-12-14,11.59,40.61,46.37,1005.39,11.28,10.32,5.7,2.55
2018-12-15,23.11,56.0,26.05,990.25,94.68,10.73,5.77,0.07
2018-12-16,31.91,75.43,24.38,1008.0,53.02,12.63,7.19,0.33
